ID,Title,Author,Genre,Published_Date
412,Ameliorated intermediate contingency,Kerry Warren,Thriller,01/06/16
413,Multi-tiered national initiative,Michael Johnson,Horror,01/04/24
414,Organic neutral utilization,Kerry Warren,Romance,20/04/88
415,Assimilated stable adapter,Kerry Warren,Horror,10/02/63
416,Profound 24/7 frame,Kerry Warren,Thriller,12/03/01
417,Profound user-facing collaboration,Michael Johnson,Mystery,01/08/53
418,Vision-oriented eco-centric circuit,Danielle Lee,Science Fiction,19/03/64
419,Ameliorated attitude-oriented capability,Andrew Adams,Mystery,12/06/86
420,Ameliorated content-based firmware,Andrew Adams,Romance,10/09/11
421,Automated intangible hardware,Kerry Warren,Horror,21/02/67
422,Vision-oriented composite Internet solution,Andrew Adams,Horror,25/06/15
423,Balanced well-modulated monitoring,Danielle Lee,Fantasy,07/03/08
424,Balanced intangible task-force,Danielle Lee,Mystery,08/09/90
425,Horizontal neutral projection,Danielle Lee,Fantasy,25/08/34
426,Upgradable 3rdgeneration project,Andrew Adams,Fantasy,30/01/64
427,Multi-lateral uniform data-warehouse,Michael Johnson,Mystery,28/12/63
428,Future-proofed transitional throughput,Kerry Warren,Romance,14/07/20
429,Cross-platform dynamic interface,Danielle Lee,Fantasy,15/05/71
430,Down-sized high-level conglomeration,Michael Johnson,Horror,20/05/93
431,Intuitive scalable implementation,Andrew Adams,Thriller,11/11/43
432,Pre-emptive eco-centric pricing structure,Andrew Adams,Mystery,20/02/61
433,Reverse-engineered well-modulated archive,Andrew Adams,Fantasy,08/04/75
434,Realigned intermediate alliance,Danielle Lee,Horror,11/01/73
435,Object-based web-enabled orchestration,Andrew Adams,Fantasy,24/07/28
436,Versatile multi-tasking challenge,Danielle Lee,Thriller,22/03/13
437,Right-sized mobile array,Kerry Warren,Horror,14/04/17
438,Team-oriented tangible hierarchy,Andrew Adams,Mystery,25/11/02
439,Multi-channeled impactful migration,Andrew Adams,Romance,03/04/78
440,Re-contextualized high-level matrix,Danielle Lee,Horror,27/12/21
441,De-engineered 6thgeneration task-force,Andrew Adams,Mystery,18/07/58
442,De-engineered well-modulated Graphical User Interface,Andrew Adams,Fantasy,16/03/69
443,Profit-focused tangible open system,Andrew Adams,Mystery,06/01/53
444,Focused local conglomeration,Danielle Lee,Thriller,01/10/43
445,Inverse high-level secured line,Kerry Warren,Horror,23/08/86
446,Extended optimal synergy,Kerry Warren,Thriller,21/01/69
447,User-centric dedicated methodology,Kerry Warren,Horror,09/03/24
448,Fully-configurable intermediate standardization,Andrew Adams,Mystery,28/02/26
449,Down-sized bandwidth-monitored portal,Andrew Adams,Romance,20/07/93
450,Reactive needs-based ability,Danielle Lee,Thriller,15/08/03
451,Upgradable bi-directional neural-net,Andrew Adams,Thriller,08/02/40
452,Self-enabling next generation conglomeration,Michael Johnson,Fantasy,02/09/58
453,Proactive intermediate ability,Andrew Adams,Mystery,08/05/63
454,Intuitive next generation flexibility,Michael Johnson,Thriller,11/01/12
455,Streamlined disintermediate definition,Michael Johnson,Thriller,02/10/47
456,Centralized 5thgeneration conglomeration,Kerry Warren,Fantasy,17/12/67
457,Secured zero administration throughput,Danielle Lee,Horror,24/02/15
458,Assimilated responsive functionalities,Michael Johnson,Romance,02/08/82
459,Centralized composite knowledge user,Kerry Warren,Mystery,30/07/97
460,Self-enabling modular data-warehouse,Danielle Lee,Fantasy,15/04/99
461,Synergistic well-modulated superstructure,Andrew Adams,Science Fiction,25/05/54
462,Profit-focused maximized open architecture,Michael Johnson,Romance,30/11/41
463,Organized non-volatile service-desk,Michael Johnson,Romance,06/10/69
464,Reduced uniform utilization,Danielle Lee,Mystery,22/03/53
465,Synergized background parallelism,Danielle Lee,Fantasy,15/03/35
466,Secured 24/7 flexibility,Michael Johnson,Horror,21/10/31
467,Function-based global data-warehouse,Andrew Adams,Thriller,30/06/30
468,Team-oriented client-driven alliance,Andrew Adams,Fantasy,10/04/99
469,Reverse-engineered multi-state intranet,Danielle Lee,Fantasy,12/06/87
470,Triple-buffered multi-state paradigm,Andrew Adams,Mystery,15/07/60
471,Devolved maximized customer loyalty,Danielle Lee,Fantasy,12/01/75
472,Persistent bifurcated policy,Kerry Warren,Fantasy,08/08/22
473,Versatile discrete encoding,Michael Johnson,Science Fiction,25/02/46
474,Decentralized object-oriented concept,Michael Johnson,Fantasy,13/10/85
475,Synergized zero-defect archive,Danielle Lee,Science Fiction,15/04/64
476,Multi-layered zero-defect alliance,Andrew Adams,Romance,21/08/25
477,Intuitive intermediate archive,Andrew Adams,Mystery,13/12/05
478,Integrated foreground ability,Michael Johnson,Romance,03/10/68
479,Seamless systematic secured line,Kerry Warren,Fantasy,20/11/74
480,Reverse-engineered bandwidth-monitored toolset,Michael Johnson,Romance,14/07/46
481,Reactive background array,Kerry Warren,Horror,30/05/82
482,Vision-oriented neutral leverage,Andrew Adams,Horror,19/05/90
483,Intuitive client-driven moratorium,Andrew Adams,Horror,28/03/44
484,Up-sized system-worthy algorithm,Michael Johnson,Fantasy,20/02/74
485,Expanded grid-enabled analyzer,Andrew Adams,Horror,22/10/73
486,Enhanced human-resource analyzer,Kerry Warren,Horror,02/09/58
487,Persistent intermediate encoding,Andrew Adams,Horror,16/10/26
488,Fully-configurable attitude-oriented alliance,Danielle Lee,Horror,23/11/14
489,Versatile bi-directional concept,Danielle Lee,Thriller,25/07/94
490,Vision-oriented fresh-thinking process improvement,Andrew Adams,Mystery,26/11/90
491,De-engineered zero-defect database,Michael Johnson,Thriller,29/04/80
492,Right-sized transitional orchestration,Kerry Warren,Mystery,26/11/80
493,Profit-focused regional synergy,Danielle Lee,Science Fiction,26/07/74
494,Persistent neutral concept,Kerry Warren,Science Fiction,22/02/09
495,Compatible clear-thinking protocol,Andrew Adams,Thriller,27/11/03
496,Multi-layered dedicated hardware,Andrew Adams,Horror,08/11/06
497,Ameliorated asynchronous paradigm,Danielle Lee,Science Fiction,04/11/84
498,Balanced cohesive alliance,Kerry Warren,Horror,10/11/68
499,Business-focused systemic instruction set,Andrew Adams,Romance,12/10/60
500,Visionary multi-state frame,Danielle Lee,Thriller,19/12/69
501,Object-based content-based hardware,Kerry Warren,Fantasy,26/09/56
502,User-friendly context-sensitive neural-net,Danielle Lee,Science Fiction,26/01/11
503,Fundamental didactic pricing structure,Michael Johnson,Horror,24/08/17
504,Horizontal intangible customer loyalty,Kerry Warren,Horror,16/01/02
505,Progressive holistic Graphic Interface,Michael Johnson,Mystery,27/06/51
506,Distributed contextually-based matrix,Kerry Warren,Science Fiction,09/03/36
507,Robust intangible framework,Kerry Warren,Mystery,22/01/93
508,Innovative multi-tasking policy,Kerry Warren,Fantasy,16/10/60
509,Customizable human-resource matrix,Kerry Warren,Horror,18/07/92
510,Pre-emptive modular process improvement,Michael Johnson,Fantasy,13/01/85
511,Business-focused background Graphical User Interface,Michael Johnson,Romance,03/08/89
512,Versatile client-driven definition,Kerry Warren,Horror,23/01/84
513,Business-focused client-driven task-force,Michael Johnson,Thriller,01/02/14
514,Right-sized national conglomeration,Michael Johnson,Mystery,12/03/58
515,Customer-focused systematic array,Michael Johnson,Science Fiction,14/12/15
516,Persistent web-enabled function,Michael Johnson,Romance,14/10/68
517,Face-to-face asynchronous alliance,Michael Johnson,Romance,24/10/27
518,Open-source encompassing workforce,Danielle Lee,Science Fiction,11/09/20
519,Synergized context-sensitive success,Danielle Lee,Thriller,06/03/98
520,Progressive web-enabled benchmark,Michael Johnson,Romance,15/09/98
521,Customer-focused even-keeled application,Andrew Adams,Horror,02/05/86
522,Customizable uniform framework,Kerry Warren,Fantasy,03/03/19
523,Configurable next generation conglomeration,Kerry Warren,Mystery,02/02/04
524,Networked encompassing analyzer,Kerry Warren,Fantasy,06/08/35
525,Organized dedicated implementation,Andrew Adams,Romance,24/09/11
526,Persistent bi-directional customer loyalty,Andrew Adams,Horror,14/05/01
527,Cloned radical analyzer,Andrew Adams,Science Fiction,14/03/84
528,Compatible eco-centric artificial intelligence,Michael Johnson,Horror,06/07/91
529,Right-sized scalable database,Danielle Lee,Mystery,18/04/52
530,Persistent intangible leverage,Michael Johnson,Romance,07/04/81
531,Devolved explicit definition,Andrew Adams,Mystery,11/07/98
532,Multi-channeled even-keeled function,Danielle Lee,Horror,25/06/95
533,Future-proofed hybrid workforce,Michael Johnson,Horror,24/05/94
534,Secured fault-tolerant project,Michael Johnson,Science Fiction,03/02/96
535,Configurable 3rdgeneration software,Michael Johnson,Science Fiction,01/01/42
536,Managed neutral customer loyalty,Danielle Lee,Fantasy,15/06/52
537,Proactive homogeneous frame,Andrew Adams,Thriller,17/08/51
538,Quality-focused human-resource frame,Kerry Warren,Romance,03/02/97
539,Grass-roots 24/7 contingency,Kerry Warren,Science Fiction,17/12/50
540,Expanded grid-enabled array,Andrew Adams,Horror,28/07/60
541,Pre-emptive context-sensitive Local Area Network,Kerry Warren,Science Fiction,12/02/91
542,Profit-focused radical emulation,Michael Johnson,Science Fiction,25/07/65
543,Business-focused coherent array,Andrew Adams,Mystery,25/02/10
544,Monitored optimal pricing structure,Kerry Warren,Horror,23/04/84
545,De-engineered empowering hub,Michael Johnson,Fantasy,18/10/81
546,Organic radical functionalities,Andrew Adams,Horror,19/06/26
547,Inverse modular projection,Michael Johnson,Horror,05/01/42
548,Cross-platform reciprocal parallelism,Andrew Adams,Horror,30/10/37
549,Visionary content-based standardization,Kerry Warren,Science Fiction,20/07/30
550,Customer-focused coherent encoding,Danielle Lee,Fantasy,03/04/14
551,Re-contextualized maximized system engine,Andrew Adams,Fantasy,12/11/69
552,Implemented zero-defect adapter,Andrew Adams,Science Fiction,14/03/61
553,Polarized fresh-thinking open architecture,Kerry Warren,Science Fiction,27/03/75
554,Organic 6thgeneration application,Andrew Adams,Science Fiction,02/01/52
555,Integrated neutral capability,Danielle Lee,Thriller,28/11/81
556,Cross-group static algorithm,Andrew Adams,Fantasy,16/12/77
557,Multi-lateral exuding core,Michael Johnson,Mystery,17/11/89
558,Multi-channeled optimizing project,Kerry Warren,Romance,07/11/33
559,Cross-platform asymmetric concept,Michael Johnson,Horror,17/10/03
560,Adaptive homogeneous hardware,Kerry Warren,Romance,24/11/65
561,Programmable background adapter,Kerry Warren,Romance,27/12/05
562,Synergistic system-worthy moratorium,Danielle Lee,Fantasy,21/08/40
563,Intuitive human-resource hardware,Andrew Adams,Romance,21/02/17
564,Automated non-volatile installation,Michael Johnson,Science Fiction,12/08/63
565,Focused coherent help-desk,Danielle Lee,Romance,17/10/03
566,Stand-alone radical algorithm,Danielle Lee,Mystery,10/03/82
567,Focused systemic middleware,Michael Johnson,Thriller,08/05/67
568,Reduced neutral matrix,Danielle Lee,Mystery,19/02/77
569,Phased bandwidth-monitored matrices,Michael Johnson,Thriller,20/08/54
570,Intuitive attitude-oriented circuit,Michael Johnson,Fantasy,27/01/99
571,Team-oriented contextually-based model,Danielle Lee,Science Fiction,16/05/81
572,Monitored cohesive artificial intelligence,Michael Johnson,Horror,06/07/77
573,Exclusive fault-tolerant secured line,Michael Johnson,Fantasy,09/04/58
574,Grass-roots scalable policy,Kerry Warren,Fantasy,01/08/65
575,Reduced 24/7 Local Area Network,Kerry Warren,Science Fiction,01/09/44
576,Extended coherent encryption,Andrew Adams,Fantasy,15/12/07
577,Grass-roots local parallelism,Andrew Adams,Science Fiction,20/05/26
578,Function-based tangible portal,Andrew Adams,Horror,13/04/23
579,Down-sized holistic flexibility,Danielle Lee,Fantasy,02/09/79
580,Synchronized cohesive paradigm,Andrew Adams,Science Fiction,04/06/82
581,Future-proofed local analyzer,Kerry Warren,Romance,17/07/67
582,Universal fresh-thinking moderator,Michael Johnson,Science Fiction,21/07/86
583,Cloned 24/7 function,Danielle Lee,Horror,01/04/93
584,Ergonomic neutral access,Kerry Warren,Horror,17/11/59
585,Focused leadingedge access,Andrew Adams,Science Fiction,05/03/35
586,Enhanced cohesive focus group,Kerry Warren,Horror,08/05/71
587,Enhanced 6thgeneration data-warehouse,Kerry Warren,Mystery,07/05/17
588,Reverse-engineered dynamic benchmark,Andrew Adams,Thriller,16/11/06
589,Horizontal client-driven application,Kerry Warren,Thriller,22/12/35
590,Customer-focused solution-oriented concept,Danielle Lee,Romance,10/03/08
591,Digitized 24hour intranet,Danielle Lee,Romance,10/08/92
592,Down-sized stable migration,Danielle Lee,Mystery,26/11/73
593,Open-architected analyzing task-force,Kerry Warren,Horror,03/09/03
594,Phased tangible firmware,Kerry Warren,Fantasy,17/12/41
595,Phased 24/7 capacity,Kerry Warren,Science Fiction,23/10/58
596,Integrated zero tolerance approach,Kerry Warren,Romance,22/05/00
597,Switchable directional complexity,Danielle Lee,Mystery,21/07/87
598,Function-based motivating encoding,Michael Johnson,Horror,25/01/13
599,Adaptive user-facing productivity,Michael Johnson,Horror,17/07/55
600,Fully-configurable 4thgeneration array,Andrew Adams,Mystery,25/10/16
601,Function-based value-added superstructure,Michael Johnson,Romance,17/02/86
602,Front-line attitude-oriented parallelism,Michael Johnson,Romance,16/07/37
603,Progressive directional methodology,Kerry Warren,Horror,20/11/78
604,Integrated solution-oriented product,Danielle Lee,Science Fiction,09/10/66
605,Versatile upward-trending software,Andrew Adams,Mystery,18/09/11
606,Business-focused actuating customer loyalty,Kerry Warren,Horror,10/09/45
607,Balanced well-modulated matrix,Andrew Adams,Fantasy,09/07/42
608,Robust mobile structure,Michael Johnson,Horror,19/02/29
609,Compatible uniform model,Danielle Lee,Science Fiction,20/02/25
610,Business-focused grid-enabled portal,Michael Johnson,Thriller,01/09/77
611,Intuitive discrete strategy,Kerry Warren,Mystery,19/04/53
612,Reduced clear-thinking frame,Danielle Lee,Horror,07/06/50
613,Devolved non-volatile solution,Danielle Lee,Mystery,16/10/96
614,Future-proofed full-range model,Danielle Lee,Romance,12/09/58
615,Exclusive foreground open system,Danielle Lee,Fantasy,22/06/07
616,Sharable logistical data-warehouse,Michael Johnson,Fantasy,20/07/63
617,Quality-focused homogeneous throughput,Kerry Warren,Science Fiction,10/09/24
618,Open-architected national knowledgebase,Kerry Warren,Fantasy,14/05/96
619,Focused eco-centric interface,Danielle Lee,Fantasy,05/03/86
620,Self-enabling fault-tolerant flexibility,Danielle Lee,Mystery,01/11/43
621,Profit-focused neutral pricing structure,Andrew Adams,Thriller,07/07/59
622,Multi-tiered intermediate installation,Danielle Lee,Romance,07/03/08
623,Customer-focused directional encryption,Kerry Warren,Mystery,14/10/21
624,Right-sized global orchestration,Kerry Warren,Horror,15/11/19
625,Monitored coherent system engine,Michael Johnson,Science Fiction,20/10/94
626,Synchronized intermediate website,Danielle Lee,Romance,02/10/31
627,Inverse grid-enabled approach,Michael Johnson,Mystery,22/03/14
628,Upgradable upward-trending access,Andrew Adams,Thriller,03/10/20
629,Multi-layered national leverage,Danielle Lee,Thriller,25/01/98
630,Re-contextualized stable database,Andrew Adams,Mystery,02/10/42
631,Visionary tangible Internet solution,Andrew Adams,Science Fiction,21/02/21
632,Open-architected responsive neural-net,Andrew Adams,Thriller,09/08/25
633,Integrated clear-thinking collaboration,Danielle Lee,Romance,06/11/04
634,Digitized fresh-thinking capacity,Andrew Adams,Thriller,24/05/49
635,Adaptive zero administration matrix,Michael Johnson,Romance,23/04/43
636,Ameliorated upward-trending adapter,Kerry Warren,Science Fiction,06/03/64
637,Customizable attitude-oriented knowledgebase,Andrew Adams,Mystery,11/07/14
638,Vision-oriented bandwidth-monitored Local Area Network,Kerry Warren,Horror,01/08/69
639,Optimized solution-oriented strategy,Kerry Warren,Mystery,01/07/83
640,Proactive homogeneous circuit,Michael Johnson,Thriller,26/12/41
641,Grass-roots motivating monitoring,Michael Johnson,Fantasy,02/08/92
642,Reactive systematic paradigm,Michael Johnson,Horror,09/02/41
643,Cloned real-time utilization,Kerry Warren,Horror,29/07/22
644,Open-architected motivating application,Kerry Warren,Fantasy,27/04/74
645,Universal didactic hardware,Michael Johnson,Mystery,18/11/90
646,Versatile background Local Area Network,Danielle Lee,Science Fiction,05/07/45
647,Public-key cohesive task-force,Andrew Adams,Fantasy,28/02/89
648,Team-oriented 5thgeneration forecast,Kerry Warren,Romance,11/09/56
649,Implemented high-level Internet solution,Andrew Adams,Horror,28/09/34
650,Devolved needs-based contingency,Kerry Warren,Mystery,28/05/50
651,Digitized incremental superstructure,Michael Johnson,Romance,14/07/84
652,User-friendly stable concept,Andrew Adams,Science Fiction,21/01/32
653,Adaptive tertiary extranet,Michael Johnson,Fantasy,09/08/50
654,Upgradable 5thgeneration knowledge user,Andrew Adams,Romance,02/02/64
655,Fully-configurable 24/7 Local Area Network,Andrew Adams,Horror,06/01/58
656,Object-based empowering utilization,Kerry Warren,Thriller,02/09/41
657,Quality-focused solution-oriented migration,Michael Johnson,Fantasy,28/08/92
658,Profound bi-directional capacity,Kerry Warren,Horror,20/11/70
659,Function-based local challenge,Danielle Lee,Horror,10/01/93
660,Ergonomic reciprocal middleware,Kerry Warren,Mystery,11/10/84
661,Reduced tertiary interface,Andrew Adams,Mystery,16/08/55
662,Streamlined optimal matrix,Andrew Adams,Thriller,17/01/91
663,Extended local project,Kerry Warren,Science Fiction,15/08/11
664,Phased user-facing initiative,Kerry Warren,Science Fiction,02/11/85
665,Fully-configurable logistical access,Andrew Adams,Mystery,29/10/29
666,Innovative neutral complexity,Andrew Adams,Romance,21/03/37
667,Expanded cohesive installation,Andrew Adams,Romance,18/08/23
668,Up-sized multimedia encoding,Danielle Lee,Fantasy,24/04/43
669,Expanded modular policy,Kerry Warren,Horror,18/04/53
670,De-engineered uniform Local Area Network,Danielle Lee,Science Fiction,14/04/81
671,Integrated secondary access,Michael Johnson,Science Fiction,10/06/53
672,Grass-roots 4thgeneration flexibility,Danielle Lee,Fantasy,10/07/69
673,Persistent optimal implementation,Andrew Adams,Mystery,12/03/86
674,Enterprise-wide executive middleware,Andrew Adams,Horror,28/07/37
675,Streamlined human-resource toolset,Andrew Adams,Thriller,04/11/89
676,Customizable 24/7 project,Andrew Adams,Romance,26/05/11
677,Progressive global budgetary management,Andrew Adams,Thriller,08/08/44
678,Compatible static neural-net,Danielle Lee,Romance,02/04/75
679,Fully-configurable systemic hub,Kerry Warren,Mystery,08/04/35
680,Pre-emptive disintermediate benchmark,Andrew Adams,Fantasy,16/12/08
681,Cloned optimizing projection,Kerry Warren,Science Fiction,08/06/87
682,Mandatory discrete success,Kerry Warren,Horror,15/04/23
683,Streamlined mobile array,Andrew Adams,Science Fiction,17/10/49
684,Streamlined even-keeled support,Andrew Adams,Fantasy,04/03/10
685,Extended reciprocal frame,Michael Johnson,Romance,13/11/56
686,Assimilated systemic support,Kerry Warren,Mystery,14/09/33
687,Cross-group user-facing contingency,Danielle Lee,Romance,12/04/25
688,Synchronized scalable approach,Andrew Adams,Science Fiction,20/02/87
689,Centralized 24/7 neural-net,Andrew Adams,Mystery,04/01/88
690,Enhanced multimedia contingency,Kerry Warren,Thriller,17/10/46
691,Total multi-state info-mediaries,Kerry Warren,Horror,30/04/78
692,Right-sized full-range data-warehouse,Andrew Adams,Mystery,25/11/76
693,Automated uniform flexibility,Danielle Lee,Horror,29/10/28
694,Customizable bi-directional flexibility,Danielle Lee,Fantasy,05/08/59
695,Triple-buffered optimal standardization,Kerry Warren,Horror,24/02/74
696,Grass-roots directional framework,Danielle Lee,Romance,25/08/83
697,Digitized bottom-line workforce,Kerry Warren,Thriller,08/11/98
698,Intuitive uniform intranet,Andrew Adams,Horror,18/10/95
699,Up-sized encompassing portal,Kerry Warren,Science Fiction,29/12/76
700,Customizable motivating website,Michael Johnson,Thriller,01/12/63
701,Up-sized client-server support,Michael Johnson,Thriller,01/08/07
702,Persevering zero administration complexity,Kerry Warren,Science Fiction,30/07/06
703,Seamless contextually-based website,Michael Johnson,Romance,18/01/48
704,Customizable directional implementation,Kerry Warren,Science Fiction,25/04/80
705,Assimilated directional support,Andrew Adams,Thriller,22/05/16
706,Triple-buffered eco-centric workforce,Kerry Warren,Mystery,27/11/26
707,Digitized leadingedge open architecture,Kerry Warren,Fantasy,06/06/21
708,Self-enabling eco-centric throughput,Danielle Lee,Fantasy,14/06/13
709,Synchronized tangible pricing structure,Danielle Lee,Mystery,10/04/90
710,User-centric systematic functionalities,Danielle Lee,Horror,12/07/48
711,Open-source national architecture,Michael Johnson,Science Fiction,10/05/44
712,Cross-platform eco-centric flexibility,Danielle Lee,Romance,01/12/35
713,Re-contextualized neutral definition,Kerry Warren,Horror,21/07/74
714,Adaptive disintermediate algorithm,Kerry Warren,Mystery,20/05/16
715,Universal regional toolset,Kerry Warren,Thriller,23/01/95
716,Grass-roots upward-trending portal,Andrew Adams,Thriller,10/11/29
717,Persevering local monitoring,Danielle Lee,Thriller,12/06/07
718,Ergonomic asynchronous software,Kerry Warren,Horror,02/03/77
719,Automated actuating solution,Danielle Lee,Fantasy,30/05/00
720,Upgradable bandwidth-monitored info-mediaries,Andrew Adams,Mystery,09/07/69
721,Polarized leadingedge approach,Danielle Lee,Horror,27/06/39
722,Phased bifurcated neural-net,Kerry Warren,Thriller,08/03/27
723,Open-source clear-thinking utilization,Kerry Warren,Thriller,05/04/45
724,Centralized exuding neural-net,Danielle Lee,Romance,24/12/82
725,User-centric executive approach,Andrew Adams,Science Fiction,01/01/85
726,Optional mobile website,Kerry Warren,Mystery,15/03/43
727,Configurable background strategy,Michael Johnson,Thriller,08/02/98
728,Inverse even-keeled monitoring,Andrew Adams,Fantasy,26/11/21
729,Managed bi-directional initiative,Danielle Lee,Mystery,07/03/47
730,Fully-configurable analyzing alliance,Danielle Lee,Romance,31/01/28
731,Fully-configurable reciprocal software,Andrew Adams,Romance,07/11/50
732,Innovative zero-defect success,Danielle Lee,Thriller,19/11/82
733,Profit-focused attitude-oriented archive,Michael Johnson,Horror,13/10/06
734,Secured tangible approach,Michael Johnson,Science Fiction,27/07/19
735,Re-engineered explicit flexibility,Kerry Warren,Mystery,05/12/25
736,Devolved asynchronous capacity,Michael Johnson,Mystery,17/05/91
737,Automated empowering collaboration,Danielle Lee,Fantasy,04/08/24
738,Devolved radical architecture,Andrew Adams,Fantasy,13/08/19
739,Future-proofed hybrid concept,Kerry Warren,Romance,03/03/96
740,Digitized logistical focus group,Kerry Warren,Science Fiction,27/10/83
741,Extended methodical alliance,Michael Johnson,Romance,20/03/48
742,Networked bifurcated service-desk,Andrew Adams,Science Fiction,18/04/65
743,Persistent mission-critical info-mediaries,Kerry Warren,Horror,22/01/18
744,Grass-roots 24/7 installation,Kerry Warren,Fantasy,08/06/65
745,Secured web-enabled paradigm,Danielle Lee,Horror,03/04/49
746,Programmable interactive utilization,Andrew Adams,Fantasy,04/08/35
747,Extended 5thgeneration knowledgebase,Kerry Warren,Romance,20/11/22
748,Upgradable zero administration methodology,Kerry Warren,Romance,28/02/47
749,Networked client-driven productivity,Danielle Lee,Fantasy,19/06/69
750,Universal client-server data-warehouse,Michael Johnson,Horror,16/06/99
751,Down-sized methodical info-mediaries,Michael Johnson,Romance,19/06/82
752,Cloned attitude-oriented service-desk,Michael Johnson,Mystery,07/11/94
753,Organic needs-based focus group,Kerry Warren,Romance,08/03/72
754,Innovative actuating task-force,Danielle Lee,Horror,17/11/73
755,Secured impactful interface,Michael Johnson,Fantasy,12/06/17
756,Integrated web-enabled instruction set,Andrew Adams,Thriller,04/01/37
757,Upgradable grid-enabled software,Michael Johnson,Romance,13/08/50
758,Upgradable client-server hierarchy,Michael Johnson,Mystery,15/07/71
759,Versatile optimal system engine,Andrew Adams,Mystery,16/12/61
760,Fully-configurable human-resource superstructure,Kerry Warren,Thriller,20/07/32
761,Upgradable hybrid adapter,Andrew Adams,Science Fiction,07/11/82
762,Business-focused system-worthy conglomeration,Kerry Warren,Science Fiction,04/04/77
763,Optional multi-tasking intranet,Andrew Adams,Mystery,12/03/15
764,Horizontal empowering toolset,Kerry Warren,Romance,20/04/47
765,Public-key executive support,Michael Johnson,Mystery,27/04/99
766,Assimilated multimedia database,Kerry Warren,Science Fiction,01/09/23
767,Total fault-tolerant product,Michael Johnson,Thriller,03/05/32
768,Organized optimal data-warehouse,Andrew Adams,Mystery,12/07/28
769,Intuitive empowering Graphic Interface,Michael Johnson,Mystery,10/04/66
770,Networked intangible approach,Michael Johnson,Thriller,23/09/68
771,Focused composite frame,Andrew Adams,Mystery,16/02/16
772,De-engineered zero-defect website,Danielle Lee,Science Fiction,13/05/01
773,Triple-buffered value-added moderator,Michael Johnson,Horror,11/04/82
774,Automated client-server emulation,Kerry Warren,Horror,24/01/56
775,Open-architected maximized support,Danielle Lee,Romance,27/11/78
776,Diverse encompassing instruction set,Michael Johnson,Mystery,24/09/32
777,Digitized bi-directional website,Danielle Lee,Horror,01/08/03
778,Polarized asymmetric function,Michael Johnson,Fantasy,26/07/62
779,Realigned neutral instruction set,Andrew Adams,Horror,18/07/28
780,De-engineered optimal instruction set,Kerry Warren,Horror,08/06/85
781,Polarized hybrid analyzer,Michael Johnson,Mystery,07/11/52
782,Operative demand-driven portal,Kerry Warren,Thriller,10/09/39
783,Universal explicit structure,Danielle Lee,Horror,13/02/76
784,Proactive intermediate frame,Michael Johnson,Thriller,11/02/01
785,Realigned client-driven projection,Michael Johnson,Science Fiction,18/04/74
786,Mandatory 5thgeneration conglomeration,Andrew Adams,Fantasy,31/08/92
787,Ameliorated asymmetric info-mediaries,Kerry Warren,Thriller,08/07/51
788,Balanced bottom-line analyzer,Andrew Adams,Fantasy,25/03/42
789,Multi-lateral high-level ability,Michael Johnson,Horror,22/04/86
790,Persevering logistical budgetary management,Kerry Warren,Fantasy,11/06/69
791,Profit-focused asymmetric process improvement,Danielle Lee,Science Fiction,19/11/53
792,Customer-focused explicit matrices,Michael Johnson,Fantasy,22/04/27
793,Automated needs-based encoding,Danielle Lee,Mystery,12/03/01
794,Right-sized asymmetric solution,Michael Johnson,Thriller,22/03/31
795,Open-architected fresh-thinking definition,Michael Johnson,Thriller,26/07/77
796,Right-sized incremental intranet,Danielle Lee,Mystery,20/08/48
797,Re-engineered heuristic customer loyalty,Kerry Warren,Thriller,04/03/86
798,Monitored full-range Local Area Network,Andrew Adams,Romance,25/10/56
799,Reduced solution-oriented contingency,Danielle Lee,Fantasy,03/06/18
800,Synchronized upward-trending time-frame,Michael Johnson,Fantasy,22/08/59
801,Front-line dedicated protocol,Andrew Adams,Horror,02/09/15
802,Enhanced context-sensitive hub,Kerry Warren,Horror,14/12/30
803,Monitored client-server protocol,Andrew Adams,Thriller,11/06/50
804,Persistent real-time Graphic Interface,Michael Johnson,Romance,06/09/08
805,Assimilated system-worthy archive,Michael Johnson,Thriller,18/05/26
806,Sharable modular structure,Kerry Warren,Thriller,06/09/36
807,Cloned systematic emulation,Kerry Warren,Fantasy,27/01/92
808,Down-sized cohesive pricing structure,Michael Johnson,Science Fiction,21/03/65
809,Object-based national matrices,Andrew Adams,Science Fiction,11/04/18
810,Open-source full-range emulation,Andrew Adams,Romance,14/03/63
811,Integrated stable info-mediaries,Kerry Warren,Mystery,03/08/27
812,Multi-layered object-oriented complexity,Andrew Adams,Horror,03/03/13
813,Down-sized multi-tasking moratorium,Andrew Adams,Fantasy,13/12/77
814,Sharable regional access,Michael Johnson,Romance,04/12/68
815,Programmable well-modulated interface,Andrew Adams,Mystery,05/12/87
816,Distributed neutral website,Kerry Warren,Science Fiction,24/11/83
817,Synergistic context-sensitive open architecture,Danielle Lee,Thriller,15/05/19
818,Mandatory zero administration open system,Andrew Adams,Fantasy,27/01/80
819,Persistent stable frame,Michael Johnson,Horror,17/07/91
820,Profound zero-defect synergy,Michael Johnson,Mystery,05/08/09
821,De-engineered foreground function,Kerry Warren,Thriller,20/01/20
822,Synergized national alliance,Kerry Warren,Science Fiction,02/08/12
823,Robust multi-state help-desk,Michael Johnson,Romance,19/12/53
